year,car_type,model_name,is_target
2026,전기승용,ELECTRIFIED G80,Y
2026,전기승용,ELECTRIFIED GV70 AWD 19인치,Y
2026,전기승용,ELECTRIFIED GV70 AWD 20인치,Y
2026,전기승용,GV60 스탠다드 2WD 19인치,Y
2026,전기승용,GV60 스탠다드 AWD 19인치,Y
2026,전기승용,GV60 스탠다드 AWD 20인치,Y
2026,전기승용,더 뉴 아이오닉5 2WD 롱레인지 19인치,Y
2026,전기승용,더 뉴 아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,Y
2026,전기승용,더 뉴 아이오닉5 2WD 롱레인지 20인치,Y
2026,전기승용,더 뉴 아이오닉5 2WD 롱레인지 N라인 20인치,Y
2026,전기승용,더 뉴 아이오닉5 2WD 스탠다드 19인치,Y
2026,전기승용,더 뉴 아이오닉5 AWD 롱레인지 19인치,Y
2026,전기승용,더 뉴 아이오닉5 AWD 롱레인지 20인치,Y
2026,전기승용,더 뉴 아이오닉5 AWD 롱레인지 N라인 20인치,Y
2026,전기승용,더 뉴 아이오닉6 2WD 롱레인지 18인치,Y
2026,전기승용,더 뉴 아이오닉6 2WD 롱레인지 20인치,Y
2026,전기승용,더 뉴 아이오닉6 2WD 롱레인지 N라인 20인치,Y
2026,전기승용,더 뉴 아이오닉6 2WD 스탠다드 18인치,Y
2026,전기승용,더 뉴 아이오닉6 AWD 롱레인지 18인치,Y
2026,전기승용,더 뉴 아이오닉6 AWD 롱레인지 20인치,Y
2026,전기승용,더 뉴 아이오닉6 AWD 롱레인지 N라인 20인치,Y
2026,전기승용,스타리아 라운지 일렉트릭 7인승,Y
2026,전기승용,스타리아 리무진 일렉트릭 6인승,Y
2026,전기승용,아이오닉 9 성능형 AWD,Y
2026,전기승용,아이오닉 9 항속형 2WD,Y
2026,전기승용,아이오닉 9 항속형 AWD,Y
2026,전기승용,아이오닉6 N,Y
2026,전기승용,코나 일렉트릭 2WD 롱레인지 17인치,Y
2026,전기승용,코나 일렉트릭 2WD 롱레인지 17인치 빌트인 캠 미적용,Y
2026,전기승용,코나 일렉트릭 2WD 롱레인지 19인치,Y
2026,전기승용,코나 일렉트릭 2WD 스탠다드 17인치,Y
2026,전기승용,EV3 GT,Y
2026,전기승용,EV3 롱레인지 2WD 17인치,Y
2026,전기승용,EV3 롱레인지 2WD 19인치,Y
2026,전기승용,EV3 롱레인지 4WD 19인치,Y
2026,전기승용,EV3 스탠다드 2WD,Y
2026,전기승용,EV4 GT,Y
2026,전기승용,EV4 롱레인지 2WD 17인치,Y
2026,전기승용,EV4 롱레인지 2WD 19인치,Y
2026,전기승용,EV4 롱레인지 4WD 19인치,Y
2026,전기승용,EV4 롱레인지 GTL 2WD 19인치,Y
2026,전기승용,EV4 스탠다드 2WD 17인치,Y
2026,전기승용,EV4 스탠다드 2WD 19인치,Y
2026,전기승용,EV5 GT,Y
2026,전기승용,EV5 롱레인지 2WD,Y
2026,전기승용,EV5 롱레인지 4WD 18인치,Y
2026,전기승용,EV5 롱레인지 4WD 19인치,Y
2026,전기승용,EV9 GT,Y
2026,전기승용,EV9 롱레인지 2WD 19인치,Y
2026,전기승용,EV9 롱레인지 2WD 20인치,Y
2026,전기승용,EV9 롱레인지 4WD 19인치,Y
2026,전기승용,EV9 롱레인지 4WD 21인치,Y
2026,전기승용,EV9 롱레인지 GTL 4WD 21인치,Y
2026,전기승용,EV9 스탠다드,Y
2026,전기승용,PV5 패신저 5인승 롱레인지,Y
2026,전기승용,Pv5 WAV,Y
2026,전기승용,The all-new Kia Niro EV,Y
2026,전기승용,더뉴EV6 롱레인지 2WD 19인치,Y
2026,전기승용,더뉴EV6 롱레인지 2WD 20인치,Y
2026,전기승용,더뉴EV6 롱레인지 4WD 19인치,Y
2026,전기승용,더뉴EV6 롱레인지 4WD 20인치,Y
2026,전기승용,더뉴EV6 스탠다드,Y
2026,전기승용,MINI Aceman E,Y
2026,전기승용,MINI Aceman SE,Y
2026,전기승용,MINI Cooper SE,Y
2026,전기승용,MINI Countryman E,Y
2026,전기승용,MINI Countryman SE ALL4,Y
2026,전기승용,MINI JCW Aceman E,Y
2026,전기승용,MINI JCW E,Y
2026,전기승용,i4 M60 LCI (71HD),Y
2026,전기승용,i4 eDrive 40 LCI(21HD),Y
2026,전기승용,i4 eDrive 40 LCI(61HD),Y
2026,전기승용,i5 eDrive 40,Y
2026,전기승용,iX1 eDrive20,Y
2026,전기승용,iX1 xDrive30,Y
2026,전기승용,iX2 eDrive20,Y
2026,전기승용,iX3 50 xDrive,Y
2026,전기승용,Model 3 Performance,Y
2026,전기승용,Model 3 Premium Long Range RWD,Y
2026,전기승용,Model 3 RWD,Y
2026,전기승용,Model 3 RWD(2025),Y
2026,전기승용,Model Y L AWD,Y
2026,전기승용,Model Y Long Range(2025),Y
2026,전기승용,Model Y Premium Long Range,Y
