year,car_type,model_name,is_target
2026,전기승용,Model Y Premium RWD,Y
2026,전기승용,Model Y RWD(2025),Y
2026,전기승용,EQA 250(Facelift),Y
2026,전기승용,EQB 300 4MATIC(Facelift),Y
2026,전기승용,EQB 300 4MATIC(Facelift)(CY25-2),Y
2026,전기승용,토레스 EVX 18인치,Y
2026,전기승용,토레스 EVX 18인치(2026),Y
2026,전기승용,토레스 EVX 20인치,Y
2026,전기승용,토레스 EVX 20인치(2026),Y
2026,전기승용,토레스 EVX 2WD 18인치,Y
2026,전기승용,토레스 EVX 2WD 20인치,Y
2026,전기승용,볼보 EX30 Single Motor ER,Y
2026,전기승용,볼보 EX30CC Twin Motor Perf,Y
2026,전기승용,ID.4 Pro,Y
2026,전기승용,ID.5 Pro,Y
2026,전기승용,Q4 45 e-tron,Y
2026,전기승용,Q4 Sportback 45 e-tron,Y
2026,전기승용,BYD ATTO 3,Y
2026,전기승용,BYD DOLPHIN,Y
2026,전기승용,BYD DOLPHIN Active,Y
2026,전기승용,BYD SEAL,Y
2026,전기승용,BYD SEAL Dynamic AWD,Y
2026,전기승용,BYD SEALION 7,Y
2026,전기승용,레이 EV 2WD 14인치 1인승 밴,Y
2026,전기승용,레이 EV 2WD 14인치 2인승 밴,Y
2026,전기승용,레이 EV 2WD 14인치 4인승 승용,Y
2026,전기승용,캐스퍼 일렉트릭 기본형 15인치,Y
2026,전기승용,캐스퍼 일렉트릭 크로스 17인치,Y
2026,전기승용,캐스퍼 일렉트릭 항속형 15인치,Y
2026,전기승용,캐스퍼 일렉트릭 항속형 17인치(라운지포함),Y
