지역,2021,2022,2023,2024,2025
강원특별자치도,4.91,7.71,9.53,11.17,13.52
경기도,2.55,4.9,6.81,9.09,12.11
경상남도,3.36,5.88,9.0,11.6,16.46
경상북도,2.96,4.83,6.58,8.74,11.95
광주광역시,3.44,5.61,7.53,9.27,11.69
대구광역시,5.84,8.55,10.31,12.21,14.67
대전광역시,4.96,9.02,10.91,13.18,15.54
부산광역시,3.33,5.91,8.98,11.72,15.46
서울특별시,3.96,5.69,6.86,7.94,9.37
세종특별자치시,5.04,7.94,11.33,13.4,17.14
울산광역시,4.21,5.67,7.43,9.06,11.43
인천광역시,4.01,8.08,11.77,16.05,23.36
전라남도,4.13,7.03,10.78,14.16,18.6
전북특별자치도,3.3,5.6,8.31,10.77,13.2
제주특별자치도,31.51,37.95,45.27,58.27,71.15
충청남도,3.87,6.23,8.43,10.58,13.55
충청북도,4.24,7.72,9.66,12.6,16.2
