지역,2021,2022,2023,2024,2025
서울특별시,37617,53612,64369,74116,87135
부산광역시,11163,19593,29569,38277,50122
대구광역시,13942,20210,24479,28868,34515
인천광역시,11829,23974,35275,48498,71284
광주광역시,4961,8025,10682,13051,16277
대전광역시,7204,13044,15735,18961,22387
울산광역시,4727,6301,8196,9951,12485
세종특별자치시,1874,3044,4379,5234,6718
경기도,34642,66606,92771,124529,166319
강원특별자치도,7550,11842,14560,16955,20398
충청북도,6778,12316,15393,20054,25862
충청남도,8194,13234,17954,22609,28961
전북특별자치도,5888,9901,14581,18717,22764
전라남도,7565,12770,19450,25329,33094
경상북도,7779,12555,16805,22134,29951
경상남도,11146,19278,29267,37441,52778
제주특별자치도,21325,25736,30568,39059,47302
