제조사,모델명,세부트림,1회충전주행거리,복합전비,가격,급속,완속
기아,EV5,에어 2WD (A/T),460,5,4575,DC콤보(7pin),AC 단상(5pin)
기아,EV5,에어 4WD (A/T),420,4.7,4800,DC콤보(7pin),AC 단상(5pin)
기아,EV5,어스 2WD (A/T),460,5,4950,DC콤보(7pin),AC 단상(5pin)
기아,EV5,어스 4WD (A/T),420,4.7,5175,DC콤보(7pin),AC 단상(5pin)
기아,EV5,GT-Line 2WD (A/T),460,5,5060,DC콤보(7pin),AC 단상(5pin)
기아,EV5,GT-Line 4WD (A/T),406,4.5,5286,DC콤보(7pin),AC 단상(5pin)
기아,EV3,에어 2WD (A/T),501,5.4,4415,DC콤보(7pin),AC 단상(5pin)
기아,EV3,에어 4WD (A/T),450,4.8,4677,DC콤보(7pin),AC 단상(5pin)
기아,EV3,어스 2WD (A/T),501,5.4,4810,DC콤보(7pin),AC 단상(5pin)
기아,EV3,어스 4WD (A/T),450,4.8,5072,DC콤보(7pin),AC 단상(5pin)
기아,EV3,GT-Line 2WD (A/T),478,5.1,4895,DC콤보(7pin),AC 단상(5pin)
기아,EV3,GT-Line 4WD (A/T),450,4.8,5110,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,익스클루시브 2WD (A/T),532,4.3,6817,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,익스클루시브 4WD (항속형) (A/T),503,4.1,7083,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,익스클루시브 4WD (성능형) (A/T),501,4.1,7168,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,프레스티지 2WD (A/T),532,4.3,7374,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,프레스티지 4WD (항속형) (A/T),503,4.1,7640,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,프레스티지 4WD (성능형) (A/T),501,4.1,7725,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,캘리그래피 2WD (A/T),511,4.2,7960,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,캘리그래피 4WD (항속형) (A/T),503,4.1,8226,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,캘리그래피 4WD (성능형) (A/T),501,4.1,8311,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,블랙잉크 2WD (A/T),511,4.2,7997,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,블랙잉크 4WD (항속형) (A/T),503,4.1,8263,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 9,블랙잉크 4WD (성능형) (A/T),501,4.1,8349,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,모던 2WD (A/T),485,5.2,5290,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,모던 4WD (A/T),451,4.8,5525,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,프리미엄 2WD (A/T),485,5.2,5825,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,프리미엄 4WD (A/T),451,4.8,6059,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,N Line 2WD (A/T),441,4.7,5945,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,N Line 4WD (A/T),411,4.4,6180,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,인스퍼레이션 2WD (A/T),485,5.2,6150,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,인스퍼레이션 4WD (A/T),451,4.8,6384,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,이-라이트 2WD (A/T),485,5.2,5064,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5,이-라이트 4WD (A/T),451,4.8,5298,DC콤보(7pin),AC 단상(5pin)
기아,EV4,에어 2WD (A/T),533,5.8,4462,DC콤보(7pin),AC 단상(5pin)
기아,EV4,에어 4WD (A/T),475,5.1,4724,DC콤보(7pin),AC 단상(5pin)
기아,EV4,어스 2WD (A/T),533,5.8,4921,DC콤보(7pin),AC 단상(5pin)
기아,EV4,어스 4WD (A/T),475,5.1,5183,DC콤보(7pin),AC 단상(5pin)
기아,EV4,GT-Line 2WD (A/T),495,5.4,5031,DC콤보(7pin),AC 단상(5pin)
기아,EV4,GT-Line 4WD (A/T),475,5.1,5246,DC콤보(7pin),AC 단상(5pin)
기아,레이 EV,라이트 (A/T),205,5.1,2835,DC콤보(7pin),AC 단상(5pin)
기아,레이 EV,에어 (A/T),205,5.1,3035,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,이-라이트 2WD (A/T),562,6,5064,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,이-라이트 AWD (A/T),533,5.7,5298,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,익스클루시브 2WD (A/T),562,6,5515,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,익스클루시브 AWD (A/T),533,5.7,5749,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,N라인 (익스클루시브) 2WD (A/T),470,5.1,5745,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,N라인 (익스클루시브) AWD (A/T),428,4.6,5980,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,프레스티지 2WD (A/T),562,6,5973,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,프레스티지 AWD (A/T),533,5.7,6207,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,N 라인 (프레스티지) 2WD (A/T),470,5.1,6132,DC콤보(7pin),AC 단상(5pin)
현대,더 뉴 아이오닉 6,N 라인 (프레스티지) AWD (A/T),428,4.6,6367,DC콤보(7pin),AC 단상(5pin)
기아,EV6,라이트 2WD (A/T),494,5.2,4761,DC콤보(7pin),AC 단상(5pin)
기아,EV6,라이트 4WD (A/T),461,4.9,4995,DC콤보(7pin),AC 단상(5pin)
기아,EV6,에어 2WD (A/T),494,5.2,5239,DC콤보(7pin),AC 단상(5pin)
기아,EV6,에어 4WD (A/T),461,4.9,5475,DC콤보(7pin),AC 단상(5pin)
기아,EV6,어스 2WD (A/T),494,5.2,5640,DC콤보(7pin),AC 단상(5pin)
기아,EV6,어스 4WD (A/T),461,4.9,5875,DC콤보(7pin),AC 단상(5pin)
기아,EV6,GT-Line 2WD (A/T),494,5.2,5700,DC콤보(7pin),AC 단상(5pin)
기아,EV6,GT-Line 4WD (A/T),461,4.9,5934,DC콤보(7pin),AC 단상(5pin)
현대,캐스퍼 일렉트릭,프리미엄 (A/T),278,5.8,2787,DC콤보(7pin),AC 단상(5pin)
현대,캐스퍼 일렉트릭,인스퍼레이션 (A/T),315,5.6,3137,DC콤보(7pin),AC 단상(5pin)
현대,캐스퍼 일렉트릭,크로스 (A/T),285,5.1,3337,DC콤보(7pin),AC 단상(5pin)
현대,캐스퍼 일렉트릭,라운지 (A/T),295,5.2,3457,DC콤보(7pin),AC 단상(5pin)
기아,EV9,라이트 스탠다드 (7인승) (A/T),374,4.2,6197,DC콤보(7pin),AC 단상(5pin)
