시도,지역,차종,비고,신청가능여부,잔여대수
서울,서울특별시,전기승용,"서울 서울특별시 전기승용 본공고 1 본공고 2 본공고 3 추경1차 1 *일반: 출고등록순 *우선: 출고등록순 12201 (1600) (0) (840) (9761) 12248 (3572) (390) (961) (7325) 10843 (3196) (332) (893) (6422) 1358 (0) (0) (0) (3339) ★★2026.6.22. 18시 기준, 상반기 서울시 전기승용차(전기택시 포함) 접수 마감되었습니다.★★ ㅇ 보급목표: 11,361대 ㅇ 접수대수: 11,361대 ㅇ 잔여대수: 0대 ----------------------------- ※ 하반기 전기자동차 보급사업은 7월중순 이후에 진행할 예정입니다.",마감,0.0
부산,부산광역시,전기승용,"부산 부산광역시 전기승용 본공고 1 본공고 2 본공고 3 추경1차 1 추경1차 2 *일반: 출고등록순 *우선: 출고등록순 4726 (0) (0) (0) (4726) 4663 (1337) (101) (633) (2592) 4659 (1336) (101) (632) (2590) 67 (0) (0) (0) (2136) --------------------------긴급공지 ------------------------------------------------------ 26.05.29 상반기 추가 공고물량 대상자 선정 마감 되었습니다. 하반기는 7월 예정하고 있습니다. 기다려 주시면 감사드리겠습니다. 그리고 대상자 선정이 안된 건들은 모두 취소되었으며 하반기 오픈되면 다시 지원신청부터 진행하셔야 합니다. --------------------------------------------------------------------------------------------------- ㅇ 상반기 추가 보급대수 : 1,000대(승용차 600대, 화물차 400대) ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음 ㅇ 보급기간 : `26. 05. 27.(수) 11:00 ∼ 추가 보급분 예산소진시까지 ※ 예산소진 시 신청마감 및 사전공고 없이 시스템 신청 마감 될 수 있음 ※ 지역할인제 상반기 예산소진→지원불가, 부산청년EV드림→지원가능 ※ 대상자 선정 건 중 출고기한 미준수시 취소가능할 수 있음으로 주의요망 ※ 신청 접수 빠르더라도 진행중에 서류 미비나 시스템 입력사항 오기등으로 보완처리시 대상자 선정 지연될수 있으며, 이로 인한 미선정은 책임지지 않음 →신청서 등 서류 누락없이 정확히 작성 요망 ※ 접수 후 빠르게 선정 요청 전화는 삼가 부탁드립니다. 작업이 더뎌집니다. ※ 구매보조금 지원(지급)신청서 등 첨부서류 일괄 스캔하여 제출 (1개의 pdf파일로 업로드 요망) ※ 전환지원금은 26.1.1일 이후 판매 또는 폐차건부터 지급신청전까지 인정되오니 ""지급신청 이후""에 판매 또는 폐차건은 불인정됩니다 -------------------------------------------------------------------------------------------------- 26.05.28 신청 폭주 및 시스템 오류로 인해 금일부터 본격적으로 서류 심사가 진행됩니다. 원활한 검토를 위해 가급적 전화 문의는 자제 부탁드리며, 특히 순번 및 진행상태 문의 등 자체 확인 가능한 부분은 대리점 업무과를 통해 확인 부탁드립니다. ------------------------------------------------------------------------------------------------- 26.05.27 많은 관심속에 상반기 추가 물량 이상으로 신청건이 접수되어 마감함을 안내드립니다. 현재 선정 작업 진행 예정이며 보완,선정 등등의 문의는 삼가 바라며, 보완건은 바로 확인 불가합니다. 상반기 추가 공고에 선정이 안되신분들은 7월 중 하반기를 예정하고 있으므로 참고 바랍니다. ----------------------------안내사항------------------------------------------------------- ※ 승용 접수번호 4467 부터 시작입니다. 업무에 참고 바랍니다. ※ 민원전화로 업무가 지연되므로 독촉전화, 단순 문의 등 자제요청 드립니다. ------------------------------------------------------------------------------------------------------------------ ㅇ 상반기 보급대수 : 5023대(승용차 4,126, 화물차 846, 승합 38, 어린이통학차 13) ※ 보급대수는 보급여건 및 예산범위 내에서 변동될 수 있음 ㅇ 보급기간 : `26. 1. 28.(수) ∼ ‘26. 12. 11.(금) (※ 보급기간 내 지급신청까지 완료하여야 하며, 예산소진 시 신청마감)",마감,
대구,대구광역시,전기승용,"대구 대구광역시 전기승용 본공고 1 본공고 2 추경1차 1 *일반: 출고등록순 *우선: 출고등록순 2125 (213) (0) (106) (1806) 2163 (533) (52) (228) (1350) 2138 (530) (52) (217) (1339) 0 (0) (0) (0) (467) ★ 승용 2차 접수 마감되었습니다. ★ ★ 화물 2차 접수 마감되었습니다. ★ ★ 접수 후 빠른 처리를 위해 단순 문의 및 처리 독촉 전화는 자제해주시길 바랍니다. ★ *2026년 전기자동차 민간보급사업 안내 (2차)* - 보급기간 : 마감 - 보급물량 : 1,063대(승용차 910대, 화물차 150대, 승합차 3대) * 보급수량은 차종별 보조금 차등지원 및 차종별 구매수요에 따라 가감될 수 있습니다. ※ 2026년 전기차 보급대수 : 3,542대(승용차 3,035, 화물차 500, 승합차 7) 1차 : 마감, 2차 : 마감, 3차 : 7월 예정 -> 보급추이 및 여건에 따라 회차 및 시기는 조정될수 있습니다. - 신청양식 : 대구시 양식(공고문 양식 다운로드) - 기타 상세 사항은 공고문을 참고하시기 바랍니다.",마감,
인천,인천광역시,전기승용,"인천 인천광역시 전기승용 본공고 1 본공고 2 *일반: 출고등록순 *우선: 출고등록순 6533 (670) (0) (335) (5528) 7052 (2286) (114) (246) (4406) 6295 (2100) (98) (210) (3887) 238 (0) (0) (125) (1641) ***출고예정일 조작 금지*** - 출고예정일 조작 적발 시 해당 대리점 대상자 선정 건 재확인후 취소할 수 있습니다. *** 전기승용차 하반기 사업 잔여대수 안내(26. 6.23. 09:00기준)*** ○ 대상자선정 기준 잔여대수 : 일반 0대, 택시 107대 ○ 일단 대상자 선정은 6.22. 출고건까지만 승인하고 마감합니다. 택시 전환 물량은 7.1일에 진행합니다. - 출고예정일 = 출고일 = 세금계산서 날짜가 일치해야 합니다 ○ 일반물량 신규 접수는 6.23.까지만 받고 마감합니다 택시전환물량도 거의 다 찼습니다. ** 7월 1일 이후부터는 택시잔여 물량도 일반으로 전환됩니다. 이경우 지원가능을 먼저 신청하고 출고가 빠른 순으로 대상자 선정을 진행합니다 ** 전기승용차 및 화물차는 하반기 사업 없습니다(올해 예산 다 소진하였습니다.) 추경예산을 확보해야 추가사업 가능하며, 추경예산 확보하면 9월에나 사업 진행 가능합니다",마감,
광주,광주광역시,전기승용,"광주 광주광역시 전기승용 본공고 1 본공고 2 본공고 3 *일반: 출고등록순 *우선: 출고등록순 2246 (0) (0) (0) (2246) 2341 (312) (54) (218) (1757) 2224 (291) (50) (209) (1674) 22 (0) (0) (0) (572) ★ 승용 2차 접수 마감됐습니다. / ※ 하반기 보급 미정 o 2차 접수기간 - (승용) : '26.5.28.(목) 10:00 ~ 12.4.(금) 18:00 - (화물) : '26.6.1.(목) 10:00 ~ 12.4.(금) 18:00 ※ 승합은 예산(물량)소진시까지 계속 접수 받는 중(1/30(금)~12/4(금)) o 2차 보급대수 : 총 469대(승용 350대, 화물 100대, 승합 19대) * 보급대수는 보급 여건, 예산범위 내에서 변동될 수 있으며, 보급물량(예산) 초과시 여유물량(취소건 감안)을 추가로 받은 후, 사전 공지 없이 신규접수 마감 (대상자 선정은 출고순) ★ (주의사항: 신청조건) 신청일로부터 최소 2일(휴일 제외) 이후 출고 예정인 차량으로 접수해야 합니다.(어길 시 보완요청, 후순위 배정) - 순차적으로 자격부여 검토, 지원가능확인요청은 바로 가능하나, 대상자 선정은 최소 2일 이후부터 확정됨 ★ 접수 후 빠른 처리를 위해 단순 접수 알림, 처리 독촉 전화는 자제 부탁드립니다.",마감,
대전,대전광역시,전기승용,"대전 대전광역시 전기승용 본공고 1 본공고 2 *일반: 출고등록순 *우선: 출고등록순 924 (0) (0) (0) (924) 1240 (372) (31) (89) (748) 1240 (372) (31) (89) (748) 0 (0) (0) (0) (176) ★2026년 상반기 전기자동차 보급사업 승용,화물 마감★ ※ 하반기 전기자동차 보급사업은 7월중 예정임을 알려드립니다 *하반기 전기승용차 물량 약 395대(차종별 차등지원에 따라 변동될 수 있음) - 지원대상: 신청일 기준 30일간 연속하여 대전시에 주소를 둔 개인, 법인 등 * 대상자 선정은 자동차 출고 등록 순 * 지원신청서의 빠른 승인을 위해 독촉 전화문의는 자제 부탁드립니다. * 자세한 사항은 공고문 참고하여 주시기 바랍니다. ★ 차종별 보조금액, 전환지원금 본공고2 첨부파일 참고",마감,
울산,울산광역시,전기승용,"울산 울산광역시 전기승용 본공고 1 추경1차 1 추경1차 2 추경1차 3 *일반: 출고등록순 *우선: 출고등록순 2786 (0) (0) (0) (2786) 2889 (970) (43) (145) (1731) 2557 (859) (37) (137) (1524) 229 (0) (0) (0) (1262) ★★ 반드시 10일이내 출고 확정건만 신청 ★★ ★★타 지자체 접수 테스트 금지★★ ☆'26.6.26. 09시 기준 : 승용 잔여대수 450여대☆ ★★ 2026년 전기자동차(승용) 보급사업 2차 안내 ★★ ○ 접수기간 : ‘26. 6. 2.(화) 10:00 ~ 예산소진시 까지 ○ 공고물량 : 1,200대(승용 1,050대, 화물 150대) - 2차 접수 : 승용 접수번호 2,298번부터 / 화물 접수번호 470번부터 시작 ○ 보급차종 : 공고문 및 무공해차 통합누리집(www.ev.or.kr) 참조 ○ 지원금액 : 차종에 따라 차등지원(구매보조금 지급현황 - 지자체 차종별 보조금 - 울산시 조회) ★ 민원전화로 업무처리가 지연되므로 빠른 업무처리를 위해 독촉, 잔여대수 문의 등 전화는 자제 해 주시기 바랍니다 - 대상자 선정, 보조금 지급 등은 순차적으로 진행 - 서류 검토 및 대상자 선정까지는 접수일 기준 7일 이내 처리될 예정이며 당일 신청, 당일 대상자선정은 어려우므로 독촉전화 자제 요망 ★ 반드시 공고문을 확인하시기 바라며 공고문 미숙지에 따른 불이익은 울산시에서 책임지지 않습니다. ★ 누락된 서류가 없는지 필히 확인하여 주시기 바랍니다.(보완요청시 검토 순서가 후순위로 밀릴 수 있음) * 지원(지급)신청서 등 모든파일은 1개의 PDF파일로 저장하여 업로드 * (전환지원금)판매 및 폐차 관련 서류는 지급 신청 전까지 제출, 전환지원금은 ""개인""만 가능(개인사업자, 법인 불가) ※ 본공고 1 : 공고문 / 추경 1차 1 : 2차 공고문 / 추경 1차 2 : 차종별 국시비 보조금 / 추경 1차 3 : 별지서식",마감,
세종,세종특별자치시,전기승용,"세종 세종특별자치시 전기승용 본공고 1 본공고 2 *일반: 출고등록순 *우선: 출고등록순 1048 (146) (0) (53) (849) 879 (335) (7) (11) (526) 688 (262) (6) (9) (411) 360 (0) (0) (44) (438) ★★★ 2026년 2차(하반기) 전기자동차(승용) 보급물량(택시외) 소진되었습니다. ★★★ 택시물량은 1대 남아있습니다. < 2026년 2차(하반기) 전기자동차(승용) 보급사업 안내 > ○ 접수기간 : '26. 6. 10.(수) 14:00~ 예산 소진 시까지 ○ 보급물량 : 전기승용 251대 ○ 지원금액 : 차종별 차등 지원(구매보조금 지급현황-지자체 차종별 보조금 조회) ○ 지원대상 : 신청일 기준 60일 이상 세종시에 연속하여 주소를 둔 자 등 ○ 지원대상자 선정기준 : 출고·등록순(출고일 확정 선착순) ○ 신청방법 : 무공해차 통합누리집을 통해 제작·수입사가 신청 ★ 빠른 업무처리를 위해 독촉, 단순 문의 전화는 자제해 주시기 바랍니다. ★ 전화 주신다고 먼저 처리되지 않으며, 오히려 업무 처리가 지연될 수 있습니다. - 자격부여는 신청서 접수일 기준 7일 이내에 처리될 예정입니다. - 대상자 확정(출고일 확정순)이 물량 소진 기준이 됩니다. ※ 무공해차 통합누리집 시스템상 잔여대수와 실제 잔여대수는 상이함 ※ 보급대수는 사업예산 소진 등 보급여건에 따라 변동될 수 있음 ※ (참고) 2차 사업 신청은 승용 접수번호 646번부터 시작입니다. ------------------------------------- 신청서 제출 안내 -------------------------------------- ★ 출고기한 미준수 시, 대상자 취소 또는 대기자로 변경 가능 - 자격부여일로부터 2개월 이내에 출고, 대상자 선정일로부터 10일 이내에 출고 ○ 시스템 입력 오기사항이나 누락된 서류가 없는지 반드시 확인 바랍니다. (보완 요청 시 검토 순서가 뒤로 밀릴 수 있으며, 이에 대상자 미선정 될 수 있음) ○ 추가 지원금을 지원받기 위한 증빙서류는 최초 신청 시 함께 제출해야 합니다. (대상자 선정 이후 제출 시 지급되지 않을 수 있습니다.) ○ 구매보조금 지원(지급)신청서 제출에 따른 모든 서류는 일괄 스캔하여 ""1개의 PDF 파일로 제출"" 바랍니다. ○ 모든 제출 서류는 ""30일 이내 발급서류""에 한하여 인정되며, 열람용 서류는 인정되지 않습니다.",마감,
경기,수원시,전기승용,"경기 수원시 전기승용 본공고 1 본공고 2 *일반: 출고등록순 *우선: 출고등록순 3870 (0) (0) (193) (3677) 3096 (984) (36) (115) (1961) 2924 (944) (35) (108) (1837) 946 (0) (0) (85) (1840) ★ 상반기(2차) 전기승용 접수 마감 (2026.6.18. 09:01) / 전기화물 접수 마감(5. 14.) - (승용) 취소분 발생할 경우, 지원가능 확인요청 순(챠량 '배정' + 10일 이내 출고)으로 대기번호 부여 후 별도 연락 예정 - 하반기 접수는 8월 예정이며, 일정은 변동될 수 있음. (7월 말 일정 공지 예정) ---------------------------------------------------------------------------------------------------- [2026년 상반기(2차) 전기자동차(승용,화물) 보급사업] ○ 사 업 명 : 상반기(2차) 전기자동차(승용, 화물) 보급사업 공고 ○ 보급대수 : 총 1,578대(승용 1,400대, 화물 178대) (* 실제 대수는 차종별 보조금 차등 지원에 따라 예산범위 내에서 변동 가능) ○ 접수기간 : 2026. 5. 11.(월) 09:00 ~ 예산 소진 시까지 ○ 신청대상 : 지원신청일 이전 60일 이상 수원시에 연속하여 주소를 둔 자 ○ 신청방법 : 제조·수입사에서 무공해차 통합누리집(ev.or.kr) 사이트로 신청 ○ 선정기준 : 자동차 출고·등록순 ○ 보급차량 : 관계 법령에 의해 각종 인증을 모두 완료한 전기자동차 ○ 기타 자세한 사항은 공고문 참고 ---------------------------------------------------------------------------------------------- ※ 차종별 보조금 확인방법(사이트 상단에서 해당 탭 클릭) - ‘구매 및 지원’ - ‘무공해차 구매보조금 지원’ - ‘지자체 차종별 보조금’ 참조",마감,
경기,성남시,전기승용,"경기 성남시 전기승용 본공고 1 본공고 2 본공고 3 *일반: 출고등록순 *우선: 출고등록순 1949 (0) (0) (0) (1949) 1745 (550) (49) (60) (1086) 1744 (549) (49) (60) (1086) 205 (0) (0) (0) (863) ★ 성남시 전기자동차(승용, 화물) 보급사업 공고 마감★ ※ 예산 조기소진에 따라 추가 공고에 대해서는 추경예산 확보 후 공고 및 접수 예정입니다. ○ 접수기간: 2026. 2. 9.(월) 10:00 ~ 2026. 12. 11.(금) 18:00 (단, 지급신청 2026. 12. 16.(수) 18:00까지) ○ 지원대수: 2,092대(승용 1,949대, 화물 143대) ○ 신청조건: 신청일 기준 성남시 거주 3개월 이상 개인, 법인 및 단체, 공공기관, 지방공기업 등 ○ 선정기준: 차량 출고등록순 ○ 지원금액 확인: 구매보조금 지급현황 - 지자체 차종별 보조금 - 성남시로 조회 ※ 본공고1:공고문 hwpx 파일, 본공고2: 공고문 pdf 파일, 본공고3: 성남시 차종별 보조금 현황 * 출고 10일 이내 차량에 한하여 신청( 지원신청시 출고증빙서류 첨부 必) * 제출서류 및 자세한 사항은 공고문 필수 확인바랍니다. --------------------------------------------- * 순차적으로 서류 검토 중에 있으며 빠른 업무처리를 위해 처리 독촉 등 전화 자제 부탁드립니다. * 차종별 금액 상이하여 잔여대수와 출고대수는 실제대수와 다름을 알려드립니다.",마감,
