지역,2022,2023,2024,운영 주체,전국합계
강원특별자치도,246,254,258,한국전력공사,N
경기도,737,754,759,한국전력공사,N
경상남도,327,341,350,한국전력공사,N
경상북도,350,369,382,한국전력공사,N
광주광역시,100,100,117,한국전력공사,N
대구광역시,180,189,192,한국전력공사,N
대전광역시,115,119,121,한국전력공사,N
부산광역시,178,182,189,한국전력공사,N
서울특별시,527,532,535,한국전력공사,N
세종특별자치시,69,71,71,한국전력공사,N
울산광역시,47,50,55,한국전력공사,N
인천광역시,168,172,177,한국전력공사,N
전라남도,256,263,268,한국전력공사,N
전북특별자치도,192,198,201,한국전력공사,N
제주특별자치도,193,201,201,한국전력공사,N
충청남도,211,213,216,한국전력공사,N
충청북도,184,191,195,한국전력공사,N
